Epoch,Train Loss,Validation Loss,EpochsNoImprove,LearningRate,Checkpoint Path
1,0.49873895120620726,0.3278922061920166,0,0.0005729999999999999,model_conv5/checkpoint_epoch_1_conv5.pth
2,0.39585333614349366,0.30864639139175415,0,0.0005472149999999999,model_conv5/checkpoint_epoch_2_conv5.pth
3,0.24972246379852295,0.13990513730049134,0,0.0005225903249999999,model_conv5/checkpoint_epoch_3_conv5.pth
4,0.1145389685869217,0.09844934034347534,0,0.0004990737603749999,model_conv5/checkpoint_epoch_4_conv5.pth
5,0.10664752894639969,0.09382893443107605,0,0.00047661544115812485,model_conv5/checkpoint_epoch_5_conv5.pth
6,0.10540351176261901,0.0838868938088417,0,0.0004551677463060092,model_conv5/checkpoint_epoch_6_conv5.pth
8,0.10205087702274322,0.08255576360225678,0,0.00041512436382473803,model_conv5/checkpoint_epoch_8_conv5.pth
10,0.10032376215457917,0.0899483882188797,2,0.00037860379791725666,model_conv5/checkpoint_epoch_10_conv5.pth
13,0.09734518826007843,0.06928539764881134,0,0.0003297578029996891,model_conv5/checkpoint_epoch_13_conv5.pth
14,0.09805440797805787,0.06827841871976853,0,0.0003149187018647031,model_conv5/checkpoint_epoch_14_conv5.pth
15,0.09509147399663925,0.07911241728067397,1,0.00030074736028079145,model_conv5/checkpoint_epoch_15_conv5.pth
20,0.09470368566513061,0.07026395922899246,6,0.00023890139299561825,model_conv5/checkpoint_epoch_20_conv5.pth
21,0.08355410594599588,0.061427847700459615,0,0.00022815083031081543,model_conv5/checkpoint_epoch_21_conv5.pth
22,0.08330738004616328,0.05868064052292279,0,0.0002178840429468287,model_conv5/checkpoint_epoch_22_conv5.pth
25,0.0822382590344974,0.06424714663199016,3,0.0001897734880264953,model_conv5/checkpoint_epoch_25_conv5.pth
30,0.08027104645115989,0.06309933917863028,8,0.00015074829119310698,model_conv5/checkpoint_epoch_30_conv5.pth
35,0.08291697256054197,0.06317797115870885,13,0.00011974827218472691,model_conv5/checkpoint_epoch_35_conv5.pth
40,0.08182537590605872,0.06735093406268529,18,9.512312595874473e-05,model_conv5/checkpoint_epoch_40_conv5.pth
